iter	Passed	Remaining
354	3513	6382
355	3516	6361
356	3522	6344
357	3533	6335
358	3548	6335
359	3559	6327
360	3574	6328
361	3585	6318
362	3603	6324
363	3615	6318
364	3637	6328
365	3642	6310
366	3661	6315
367	3672	6307
368	3681	6296
369	3695	6292
370	3705	6281
371	3707	6259
372	3714	6243
373	3725	6235
374	3734	6224
375	3740	6208
376	3746	6190
377	3749	6170
378	3758	6157
379	3764	6141
380	3777	6137
381	3783	6120
382	3787	6101
383	3801	6098
384	3810	6086
385	3816	6071
386	3828	6064
387	3839	6056
388	3845	6040
389	3854	6028
390	3861	6014
391	3870	6002
392	3883	5998
393	3892	5986
394	3902	5976
395	3907	5960
396	3913	5944
397	3923	5934
398	3939	5933
399	3946	5919
400	3951	5902
401	3962	5894
402	3975	5888
403	3986	5881
404	4004	5882
405	4012	5870
406	4019	5856
407	4026	5842
408	4030	5824
409	4035	5807
410	4041	5792
411	4052	5783
412	4066	5779
413	4074	5767
414	4079	5750
415	4091	5743
416	4102	5735
417	4107	5719
418	4112	5702
419	4117	5686
420	4128	5677
421	4132	5660
422	4141	5648
423	4160	5652
424	4164	5634
425	4178	5630
426	4187	5619
427	4195	5606
428	4204	5595
429	4215	5588
430	4222	5574
431	4231	5563
432	4239	5551
433	4250	5542
434	4255	5527
435	4263	5515
436	4275	5508
437	4282	5494
438	4294	5487
439	4301	5474
440	4310	5464
441	4319	5452
442	4326	5439
443	4332	5424
444	4336	5408
445	4345	5397
446	4359	5393
447	4369	5383
448	4379	5373
449	4385	5360
450	4393	5348
451	4401	5336
452	4410	5325
453	4431	5330
454	4439	5317
455	4443	5301
456	4455	5294
457	4461	5280
458	4467	5265
459	4480	5259
460	4484	5243
461	4491	5230
462	4503	5223
463	4506	5205
464	4512	5191
465	4524	5184
466	4538	5180
467	4551	5174
468	4556	5159
469	4563	5146
470	4567	5129
471	4581	5124
472	4585	5108
473	4591	5095
474	4602	5086
475	4618	5083
476	4628	5075
477	4636	5063
478	4642	5049
479	4650	5038
480	4656	5024
481	4670	5019
482	4683	5013
483	4687	4997
484	4694	4985
485	4697	4968
486	4702	4953
487	4717	4949
488	4725	4937
489	4729	4922
490	4735	4908
491	4744	4899
492	4752	4887
493	4760	4876
494	4771	4867
495	4778	4855
496	4783	4841
497	4788	4826
498	4796	4815
499	4798	4798
500	4803	4783
501	4812	4773
502	4827	4770
503	4833	4756
504	4836	4740
505	4840	4725
506	4843	4709
507	4856	4703
508	4870	4698
509	4876	4685
510	4883	4673
511	4891	4662
512	4894	4646
513	4905	4637
514	4914	4627
515	4919	4614
516	4932	4607
517	4936	4593
518	4942	4580
519	4948	4567
520	4955	4556
521	4966	4547
522	4978	4540
523	4992	4535
524	5007	4530
525	5012	4516
526	5014	4500
527	5020	4487
528	5037	4484
529	5049	4477
530	5056	4466
531	5065	4456
532	5075	4446
533	5084	4436
534	5092	4426
535	5100	4415
536	5107	4403
537	5119	4396
538	5124	4382
539	5134	4374
540	5138	4359
541	5146	4348
542	5151	4335
543	5158	4323
544	5170	4316
545	5175	4303
546	5186	4295
547	5191	4282
548	5205	4276
549	5217	4269
550	5227	4260
551	5240	4252
552	5245	4240
553	5248	4225
554	5255	4213
555	5265	4204
556	5273	4194
557	5277	4179
558	5283	4167
559	5290	4156
560	5295	4143
561	5308	4137
562	5315	4125
563	5325	4116
564	5329	4103
565	5334	4090
566	5349	4085
567	5367	4082
568	5379	4074
569	5382	4060
570	5385	4046
571	5397	4038
572	5404	4027
573	5408	4013
574	5412	4000
575	5420	3989
576	5432	3982
577	5438	3970
578	5442	3957
579	5455	3950
580	5461	3938
581	5470	3928
582	5483	3922
583	5495	3914
584	5506	3905
585	5510	3893
586	5520	3884
587	5534	3877
588	5542	3867
589	5545	3853
590	5557	3846
591	5566	3836
592	5573	3825
593	5582	3815
594	5587	3803
595	5597	3794
596	5607	3785
597	5611	3772
598	5620	3762
599	5626	3751
600	5632601	56601	5639602	56602	5650	3720
603	5657	3709
604	5663605	56605	5673606	5655	3661
607	56607	5691608	56608	5707609	5696	3642
610	5703	3630
611	5710	3620
612	5725	3614
613	5734	3605
614	5740	3593
615	5749	3584
616	5758	3574
617	5766	3564
618	5778	3556
619	5788	3547
620	5798	3538
621	5805	3527
622	58622	5837623	58623	5840624	58624	5844625	5836	3486
626	5841	3475
627	58627	5878	3482
628	5881629	58629	5889630	58630	5898	3449
631	5903	3437
632	5914633	58633	5918634	59634	5927635	5914	3384
636	5925	3376
637	5933	3366
638	5942	3356
639	5949	3346
640	5955	3335
641	5966	3327
642	5975	3317
643	5995	3314
644	6007	3306
645	6015	3296
646	6018	3283
647	6033	3277
648	6038	3266
649	6045	3255
650	6057	3247
651	6076	3243
652	6082	3232
653	6095	3225
654	6100	3213
655	6106	3202
656	6112	3190
657	6122	3182
658	6138	3176
659	6150	3168
660	6159	3158
661	6171	3150
662	6178	3140
663	6191	3133
664	6195	3121
665	6206	3112
666	6214	3102
667	62667	6245668	62668	6258	3096
669	6267	3087
670	6276671	62671	6286	3068
672	6293	3058
673	6302	3048
674	6311	3038
675	6322	3030
676	6330	3020
677	6339	3010
678	6356	3004
679	6370	2997
680	6376	2986
681	6387	2978
682	6392	2966
683	6397	2955
684	6410	2947
685	6414	2935
686	6419	2924
687	6427	2914
688	6435	2904
689	6443	2894
690	6448	2883
691	6460	2875
692	6472	2867
693	6483	2858
694	6486	2846
695	6501	2839
696	6509	2829
697	6514	2818
698	6519	2807
699	6526	2796
700	6531	2785
701	6538	2775
702	6542	2764
703	6559	2757
704	6564	2746
705	6570	2736
706	6582	2728
707	6589	2717
708	6595	2707
709	6606	2698
710	6615	2689
711	6620	2677
712	6625	2667
713	6629	2655
714	6632	2643
715	6637	2632
716	6656	2627
717	6664	2617
718	6670	2607
719	6681	2598
720	6691	2589
721	6696	2578
722	6707	2569
723	6718	2561
724	6730	2552
725	6734	2541
726	6742	2531
727	6748	2521
728	6756	2511
729	6764	2501
730	6771	2491
731	6778	2481
732	6787	2472
733	6792	2461
734	6799	2451
735	6812	2443
736	6822	2434
737	6829	2424
738	6833	2413
739	6843	2404
740	6850	2394
741	6858	2384
742	6872	2377
743	6879	2367
744	6883	2356
745	6890	2345
746	6894	2334
747	6906	2326
748	6914	2317
749	6922	2307
750	6939	2300
751	6948	2291
752	6958	2282
753	6963	2271
754	6982	2265
755	6997	2258
756	7006	2248
757	7023	2242
758	7030	2232
759	7046	2225
760	7055	2215
761	7072	2209
762	7080	2199
763	7088	2189
764	7099	2180
765	7106	2170
766	7117	2162
767	7123	2151
768	7129	2141
769	7138	2132
770	7149	2123
771	7154	2113
772	7162	2103
773	7173	2094
774	7191	2087
775	7202	2078
776	7218	2071
777	7226	2062
778	7236	2053
779	7246	2044
780	7255	2034
781	7264	2025
782	7270	2015
783	7283	2006
784	7300	1999
785	7304	1988
786	7312	1979
787	7323	1970
788	7333	1961
789	7337	1950
790	7344	1940
791	7353	1931
792	7368	1923
793	7374	1913
794	7383	1903
795	7387	1893
796	7398	1884
797	7410	1875
798	7423	1867
799	7432	1858
800	7440	1848
801	7448	1838
802	7450	1827
803	7459	1818
804	7466	1808
805	7471	1798
806	7476	1788
807	7481	1777
808	7488	1767
809	7497	1758
810	7504	1748
811	7516	1740
812	7524	1730
813	7529	1720
814	7536	1710
815	7547	1701
816	7552	1691
817	7558	1681
818	7565	1672
819	7574	1662
820	7577	1651
821	7581	1641
822	7588	1632
823	7593	1622
824	7596	1611
825	7605	1602
826	7608	1591
827	7612	1581
828	7616	1571
829	7625	1561
830	7638	1553
831	7641	1543
832	7648	1533
833	7653	1523
834	7660	1513
835	7665	1503
836	7673	1494
837	7679	1484
838	7685	1474
839	7689	1464
840	7696	1455
841	7701	1445
842	7711	1436
843	7722	1427
844	7727	1417
845	7736	1408
846	7741	1398
847	7747	1388
848	7750	1378
849	7758	1369
850	7764	1359
851	7776	1350
852	7782	1341
853	7786	1331
854	7792	1321
855	7799	1312
856	7809	1303
857	7813	1293
858	7819	1283
859	7824	1273
860	7833	1264
861	7839	1254
862	7846	1245
863	7853	1236
864	7860	1226
865	7864	1216
866	7876	1208
867	7882	1198
868	7888	1189
869	7895	1179
870	7902	1170
871	7908	1160
872	7914	1151
873	7919	1141
874	7922	1131
875	7925	1121
876	7937	1113
877	7941	1103
878	7952	1094
879	7961	1085
880	7967	1076
881	7974	1066
882	7978	1057
883	7984	1047
884	7994	1038
885	7998	1029
886	8006	1020
887	8013	1010
888	8021	1001
889	8028	992
890	8038	983
891	8045	974
892	8052	964
893	8056	955
894	8059	945
895	8067	936
896	8074	927
897	8079	917
898	8085	908
899	8092	899
900	8099	889
901	8106	880
902	8114	871
903	8119	862
904	8126	853
905	8131	843
906	8140	834
907	8148	825
908	8153	816
909	8157	806
910	8167	797
911	8174	788
912	8180	779
913	8188	770
914	8191	760
915	8198	751
916	8204	742
917	8214	733
918	8219	724
919	8225	715
920	8229	705
921	8240	697
922	8246	687
923	8252	678
924	8256	669
925	8260	660
926	8269	651
927	8273	641
928	8277	632
929	8280	623
930	8286	614
931	8295	605
932	8301	596
933	8307	587
934	8312	577
935	8319	568
936	8324	559
937	8332	550
938	8339	541
939	8344	532
940	8347	523
941	8358	514
942	8364	505
943	8372	496
944	8378	487
945	8386	478
946	8390	469
947	8394	460
948	8405	451
949	8410	442
950	8416	433
951	8421	424
952	8429	415
953	8433	406
954	8436	397
955	8439	388
956	8443	379
957	8448	370
958	8452	361
959	8461	352
960	8467	343
961	8471	334
962	8476	325
963	8481	316
964	8487	307
965	8493	298
966	8506	290
967	8511	281
968	8520	272
969	8525	263
970	8536	254
971	8546	246
972	8552	237
973	8557	228
974	8560	219
975	8574	210
976	8586	202
977	8589	193
978	8592	184
979	8596	175
980	8601	166
981	8604	157
982	8608	148
983	8611	140
984	8613	131
985	8616	122
986	8619	113
987	8621	104
988	8624	95
989	8626	87
990	8629	78
991	8631	69
992	8633	60
993	8636	52
994	8638	43
995	8640	34
996	8642	26
997	8645	17
998	8647	8
999	8649	0

996	8544	25
997	8547	17
998	8549	8
999	8552	0
