iter	RMSE
264	30350.90835
265	30349.84862
266	30348.27622
267	30346.40817
268	30345.56703
269	30343.91473
270	30343.02451
271	30341.81998
272	30341.26797
273	30339.64211
274	30337.99802
275	30335.72085
276	30334.143
277	30331.42389
278	30329.279	30279	30326.95758
280	30325.40845
281	30323.57928
282	30322.22465
283	30321.59447
284	30321.15141
285	30319.60715
286	30318.16335
287	30316.8283
288	30315.2607
289	30313.6994
290	30312.44019
291	30310.91196
292	30309.42351
293	30308.49695
294	30307.73399
295	30307.14512
296	30305.66498
297	30305.1958
298	30303.38324
299	30301.38962
300	30300.67112
301	30300.12167
302	30298.28577
303	30297.00074
304	30295.97618
305	30295.48493
306	30294.14434
307	30293.26526
308	30292.48786
309	30291.31812
310	30289.2765
311	30287.87367
312	30287.32145
313	30285.84185
314	30283.95915
315	30282.19729
316	30280.89668
317	30279.67972
318	30278.78392
319	30277.365320320	30275.822321321	30275.4048
322	30274.743632323	30274.332332324	30273.101332325	30272.30647
326	30271.91354
327	30271.42357
328	30269.91291
329	30268.3938
330	30267.97026
331	30266.32978
332	30264.90232
333	30264.00727
334	30262.15486
335	30260.59115
336	30259.29804
337	30258.88956
338	30257.54929
339	30257.10196
340	30255.42812
341	3342	30469.342	30343	30469.343	30344	30469.344	30345	30467.345	30346	30467.346	30347	30465.93648
348	30465.348	30349	30463.349	30350	30462.350	30351	30462.351	30352	30460.352	30353	30460.35198
354	30458.82753
355	30457.97435
356	30456.82605
357	30455.6004
358	30455.15068
359	30453.72968
360	30452.27445
361	30450.81613
362	30449.33965
363	30448.1082
364	30447.02629
365	30446.3299
366	30444.88988
367	30443.3363
368	30442.64939
369	30440.6092
370	30438.97545
371	30437.38842
372	30436.28295
373	30434.78745
374	30434.25133
375	30433.09952
376	30432.45704
377	30431.84333
378	30430.12992
379	30429.01536
380	30428.4902
381	30426.7298
382	30425.35118
383	30424.31876
384	30422.83285
385	30421.16457
386	30419.90203
387	30418.56735
388	30418.23656
389	30416.75952
390	30415.91173
391	30415.8068
392	30414.05545
393	30413.25242
394	30412.54222
395	30411.57583
396	30411.25235
397	30409.41663
398	30408.39788
399	30408.13242
400	30406.62327
401	30405.788
402	30404.96924
403	30404.27287
404	30403.84626
405	30402.00633
406	30401.40292
407	30399.98321
408	30398.59053
409	30397.4034
410	30396.5188
411	30395.26761
412	30393.82586
413	30391.46534
414	30389.93112
415	30388.44323
416	30387.05489
417	30385.55844
418	30384.86281
419	30384.57295
420	30383.04734
421	30381.95619
422	30380.81405
423	30380.32022
424	30378.96378
425	30378.86632
426	30378.32551
427	30378.08316
428	30377.88635
429	30376.33763
430	30375.39402
